peso,altezza,bmi
389.05,1.07,339.82
2.44,1.9,0.68
2.92,0.57,8.99
2.54,0.71,5.04
3.16,1.9,0.88
500.0,0.59,1436.37
164.88,0.78,271.01
5.01,1.0,5.01
70.0,0.88,90.4
3.54,1.04,3.28
500.0,0.42,2834.47
69.39,0.8,108.43
7.49,2.24,1.5
16.2,2.4,2.82
112.08,0.41,666.75
437.91,0.57,1347.84
456.01,0.4,2850.07
3.38,0.68,7.31
6.05,1.04,5.6
2.61,0.67,5.82
5.74,1.5,2.56
2.45,1.55,1.02
3.47,1.62,1.33
370.96,0.4,2318.5
346.0,0.46,1635.17
20.53,1.68,7.28
206.75,1.2,143.58
44.13,0.44,227.95
4.3,0.88,5.56
500.0,0.78,821.83
352.33,0.7,719.05
321.76,0.65,761.57
220.83,0.55,730.02
2.66,2.17,0.57
2.83,0.94,3.21
89.31,0.61,240.02
2.58,0.71,5.12
159.51,0.5,638.04
2.56,1.4,1.31
2.44,1.08,2.1
298.16,0.94,337.44
2.4,0.62,6.25
15.13,0.43,81.83
460.65,0.41,2740.34
3.59,0.71,7.13
2.58,0.55,8.53
46.5,0.53,165.54
2.55,0.6,7.09
274.93,1.15,207.89
68.59,0.54,235.22
454.85,0.61,1222.39
52.85,0.46,249.77
426.82,1.0,426.82
2.75,0.59,7.91
49.47,0.56,157.75
24.86,1.85,7.27
2.61,2.24,0.53
2.94,2.04,0.71
276.87,0.61,744.08
152.36,0.75,270.87
4.04,1.68,1.44
268.56,0.81,409.33
2.41,0.6,6.7
16.33,2.0,4.09
4.73,1.04,4.38
15.79,2.16,3.39
500.0,1.0,500.0
