peso,altezza,bmi
500.0,0.59,1436.37
2.4,2.08,0.56
8.6,1.04,7.96
7.4,1.0,7.4
2.54,0.66,5.84
31.26,0.59,89.81
2.48,2.29,0.48
3.45,1.08,2.96
42.41,0.42,240.42
290.95,0.4,1818.44
2.92,0.66,6.71
37.0,0.55,122.32
4.37,1.92,1.19
30.1,0.44,155.48
80.83,0.66,185.57
82.7,0.77,139.49
3.63,2.31,0.69
35.6,0.62,92.62
8.69,2.3,1.65
2.56,2.38,0.46
4.21,2.5,0.68
18.99,0.45,93.78
299.7,1.53,128.03
6.89,1.35,3.79
2.4,0.6,6.67
4.69,0.72,9.05
2.45,0.97,2.61
2.61,0.73,4.9
19.58,1.83,5.85
102.98,0.4,643.63
32.49,2.5,5.2
2.44,0.57,7.52
2.67,1.46,1.26
7.99,2.26,1.57
231.42,0.63,583.07
2.61,2.14,0.57
66.79,0.46,315.65
2.69,0.76,4.66
4.96,0.88,6.41
2.43,0.84,3.45
2.97,1.09,2.5
34.98,0.48,151.83
219.01,0.69,460.01
147.0,0.59,422.3
36.44,0.58,108.33
2.46,0.62,6.4
40.13,0.45,198.18
9.98,2.08,2.31
28.81,0.6,80.03
2.52,0.91,3.05
133.3,0.53,474.55
355.94,0.62,925.97
6.57,1.58,2.64
2.41,0.86,3.26
4.26,0.76,7.38
89.97,1.0,89.97
2.45,0.78,4.03
49.38,0.48,214.33
69.01,0.4,431.32
2.43,1.55,1.02
389.0,2.03,94.4
3.11,2.14,0.68
126.68,0.46,598.68
2.44,1.24,1.59
225.49,0.52,833.92
2.4,1.43,1.18
2.9,0.75,5.16
5.99,1.89,1.68
2.44,0.57,7.52
2.4,0.78,3.95
156.95,0.5,627.8
282.85,0.44,1461.01
2.49,0.7,5.09
3.68,1.27,2.29
396.9,1.9,109.95
2.94,0.57,9.05
2.42,0.79,3.88
424.69,0.59,1220.03
49.08,0.58,145.9
2.9,1.48,1.33
3.56,2.15,0.78
2.4,1.55,1.0
84.31,0.55,278.72
3.41,1.38,1.8
44.24,0.59,127.09
2.43,0.56,7.75
2.56,1.02,2.47
2.56,0.88,3.31
2.82,0.65,6.68
2.49,0.88,3.22
360.37,1.06,320.73
21.72,2.13,4.79
257.54,0.8,402.41
374.65,1.3,221.69
244.73,0.97,260.11
2.71,1.0,2.71
11.31,1.72,3.83
2.43,0.83,3.53
157.49,0.7,321.41
500.0,0.91,603.8
2.61,2.22,0.53
417.52,0.4,2609.5
6.6,0.92,7.8
415.29,1.0,415.29
2.96,1.7,1.03
2.57,0.54,8.82
137.1,0.49,571.02
18.06,0.4,112.88
500.0,0.41,2974.42
133.49,0.65,315.96
416.1,0.59,1195.35
2.92,1.17,2.14
3.1,0.61,8.34
283.9,1.49,127.88
2.54,0.88,3.28
42.65,0.64,104.13
49.52,0.41,294.59
3.31,0.97,3.52
500.0,0.42,2834.47
448.4,0.61,1205.06
500.0,0.61,1343.73
500.0,1.98,127.54
2.4,0.78,3.95
2.9,0.59,8.34
2.43,0.72,4.69
2.4,2.25,0.48
2.47,0.98,2.58
12.09,2.26,2.37
27.96,0.5,111.84
2.41,0.55,7.97
2.45,2.11,0.56
490.24,0.6,1361.78
2.56,2.17,0.55
2.88,0.62,7.5
245.53,0.42,1391.9
115.11,0.85,159.33
3.4,1.03,3.21
8.13,1.37,4.34
2.42,0.5,9.68
85.63,0.45,422.87
2.4,1.74,0.8
4.25,2.36,0.77
146.4,0.45,722.97
359.29,0.66,824.82
3.19,1.02,3.07
500.0,0.41,2974.42
2.59,0.59,7.45
2.71,1.77,0.87
206.9,0.46,977.79
8.03,1.59,3.18
2.97,0.61,7.99
2.41,1.03,2.28
500.0,1.14,384.74
2.49,1.91,0.69
3.98,1.62,1.52
2.44,1.63,0.92
286.19,0.75,508.79
80.41,0.62,209.19
321.66,0.77,542.52
2.41,0.95,2.68
2.86,2.24,0.57
17.76,1.79,5.55
259.55,0.58,771.56
153.71,0.8,240.18
2.45,0.51,9.42
36.81,0.42,208.68
13.14,2.04,3.16
366.37,0.42,2076.93
481.67,1.52,208.48
228.03,0.83,331.01
2.57,0.67,5.73
241.23,0.4,1507.69
4.49,1.82,1.36
2.57,0.52,9.51
2.59,1.07,2.27
51.23,0.58,152.29
18.57,0.4,116.07
2.4,1.06,2.14
2.41,1.91,0.67
6.64,0.92,7.85
146.94,0.59,422.13
50.01,0.57,153.93
2.61,2.5,0.42
